run,biomass_final,coop_final,payoff_final
0,1.7704613005097839e-06,0.0,6425.52
1,1.948104894998603e-06,0.0,6367.54
2,1.8035225319754769e-06,0.0,6325.02
3,1.8453803657868135e-06,0.0,6371.18
4,1.9550204480010063e-06,0.0,6369.42
5,1.994468891969108e-06,0.0,6361.68
6,1.7693844702423572e-06,0.0,6342.82
7,1.7784641988238701e-06,0.0,6414.44
8,1.9750738208017678e-06,0.0,6314.82
9,1.7333053986736714e-06,0.0,6377.08
10,1.8163848318457016e-06,0.0,6342.66
11,1.8688024240584371e-06,0.0,6371.12
12,1.7614019844775824e-06,0.0,6488.84
13,1.9490654208693485e-06,0.0,6366.92
14,1.896841484437241e-06,0.0,6307.12
15,1.8234916269692127e-06,0.0,6339.98
16,1.7879102630425282e-06,0.0,6400.7
17,1.9879562705065293e-06,0.0,6347.64
18,1.896234678185494e-06,0.0,6304.2
19,1.9664466919123515e-06,0.0,6300.46
20,1.4916800122045718e-06,0.0,6481.24
21,1.8945547080323042e-06,0.0,6392.6
22,2.037441397187614e-06,0.0,6297.04
23,1.3468044658088275e-06,0.0,6558.82
24,1.9862331834975513e-06,0.0,6374.24
25,1.9825125784248922e-06,0.0,6380.1
26,1.6997926313467663e-06,0.0,6406.42
27,1.9701911349881626e-06,0.0,6383.0
28,2.093164011689173e-06,0.0,6265.94
29,2.0078967464057395e-06,0.0,6303.46
30,1.8877163966805316e-06,0.0,6374.52
31,1.927546995362718e-06,0.0,6282.92
32,1.551774872947683e-06,0.0,6418.0
33,1.9668650799235122e-06,0.0,6343.1
34,1.7836850094499533e-06,0.0,6364.62
35,2.047065041251805e-06,0.0,6361.86
36,1.852596120690514e-06,0.0,6353.14
37,1.9473630016403875e-06,0.0,6397.82
38,1.8393768518434001e-06,0.0,6353.28
39,1.8607155494232287e-06,0.0,6370.6
40,2.025165915500798e-06,0.0,6320.38
41,2.0539796685114674e-06,0.0,6367.24
42,1.8644932191894937e-06,0.0,6344.2
43,2.004862667314079e-06,0.0,6308.64
44,1.8843504347823875e-06,0.0,6324.76
45,1.6646186359967903e-06,0.0,6469.22
46,1.7957677966576665e-06,0.0,6312.12
47,1.3181986770898241e-06,0.0,6592.74
48,1.737743449662439e-06,0.0,6375.28
49,2.0178316421009017e-06,0.0,6331.96
50,1.9185111743691213e-06,0.0,6417.3
51,1.947609509281649e-06,0.0,6330.32
52,1.9892331162680955e-06,0.0,6416.28
53,1.9190938447260013e-06,0.0,6380.0
54,2.0768187577923632e-06,0.0,6325.3
55,2.0035567436038287e-06,0.0,6385.24
56,2.008188758446164e-06,0.0,6355.08
57,1.4923313135591962e-06,0.0,6458.68
58,1.929074178947126e-06,0.0,6313.4
59,1.931467192893776e-06,0.0,6352.24
60,2.061968966286765e-06,0.0,6311.98
61,1.5950464772082247e-06,0.0,6337.58
62,1.9291963690507317e-06,0.0,6334.14
63,1.7911370169297352e-06,0.0,6363.2
64,1.8188842272135964e-06,0.0,6504.56
65,1.7870094236713028e-06,0.0,6495.4
66,1.6422093944263722e-06,0.0,6432.44
67,1.8570211063984802e-06,0.0,6361.64
68,1.9351188208181605e-06,0.0,6316.04
69,1.988973812786925e-06,0.0,6312.72
70,1.4645062879453393e-06,0.0,6427.3
71,1.7628545384469032e-06,0.0,6361.84
72,1.942855306297274e-06,0.0,6377.16
73,1.9182975817512813e-06,0.0,6339.36
74,1.8484689804441422e-06,0.0,6349.48
75,1.82662394883695e-06,0.0,6350.02
76,1.7675389138582515e-06,0.0,6327.24
77,1.974212791247347e-06,0.0,6389.44
78,1.4737741904541472e-06,0.0,6515.74
79,1.9142366517189513e-06,0.0,6380.68
80,1.6134271724994714e-06,0.0,6457.54
81,1.9462182243351707e-06,0.0,6311.7
82,1.963665382843837e-06,0.0,6336.5
83,1.7922303652192588e-06,0.0,6376.92
84,1.8411740065910556e-06,0.0,6351.54
85,1.931593243659413e-06,0.0,6350.3
86,1.668939497331281e-06,0.0,6421.16
87,1.8531787092847871e-06,0.0,6372.54
88,1.5981761982296004e-06,0.0,6383.8
89,2.1017625969964904e-06,0.0,6309.94
90,1.917317322241506e-06,0.0,6343.08
91,1.9889480397925586e-06,0.0,6328.88
92,1.7987395526420096e-06,0.0,6427.88
93,1.7322000941535036e-06,0.0,6415.8
94,1.7202890911264173e-06,0.0,6453.4
95,1.957827076702667e-06,0.0,6379.36
96,1.4362744784391579e-06,0.0,6442.5
97,1.5104916330172136e-06,0.0,6435.44
98,1.9350742540792203e-06,0.0,6321.98
99,1.965287374213941e-06,0.0,6347.14
