run,S2_final,others_final,bottleneck_hits,fights_Z2
0,0.02994755451628002,0.23202757490778136,582,0
1,4.5001257305439906e-15,0.10035980885479867,1452,0
2,5.743200989439257e-20,0.20480148359275352,565,3
3,4.632797997435199e-13,0.33214349132791465,243,0
4,2.6536548925318113e-16,0.10249321355414799,954,12
5,3.615350083126523e-21,0.09849726770915694,963,0
6,0.0013634332126068577,0.3820571692151522,77,0
7,1.9493381974082255e-22,0.10143277032333885,425,1
8,3.807356326246101e-19,0.18578459263003055,721,9
9,0.027725160697212602,0.3960565520080867,7,0
10,1.785254894569062e-20,0.09939821311432598,773,6
11,4.176442932615055e-21,0.20243664242237216,470,0
12,5.046583343486488e-22,0.20597285485307015,339,1
13,5.922598501585817e-14,0.32665766282798525,186,0
14,1.2967737912275846e-18,0.2384916960380177,591,0
15,5.727093220077198e-20,0.17761207271171306,817,6
16,0.03011521957163523,0.23916714812427675,769,0
17,2.318328467292892e-21,0.17360847208077387,567,0
18,3.0458894100797365e-14,0.2648220470799632,547,0
19,0.030053099382591687,0.23218371796080756,545,0
20,5.3727244230197695e-20,0.20742724350407832,490,0
21,3.847520456467349e-18,0.09930913955958116,1241,18
22,0.03289486874832647,0.3965695399201872,42,0
23,8.943139575910023e-15,0.10024480945072269,1307,0
24,7.151368946219305e-18,0.10003849668218312,709,0
25,1.1907444095710565e-14,0.10164391740270906,1098,0
26,2.944851432766405e-24,0.17448998789782563,818,6
27,0.03244769268144587,0.3980822504826894,266,0
28,0.00978288184595186,0.1040681865362068,1626,18
29,0.004431441558441018,0.396746408800799,61,0
30,0.026946296496785493,0.39998199181405136,3,0
31,3.45439621679415e-05,0.3974942149409958,90,0
32,1.4565054129392847e-06,0.10438411570536375,1006,9
33,8.305966633271263e-23,0.17406352428526503,671,0
34,4.8913844100743324e-17,0.09953645651108578,1945,33
35,4.105981329821876e-09,0.10248897689729247,731,0
36,4.536594551449171e-20,0.10192697124234892,529,3
37,2.6319550554255625e-23,0.19367946821419585,668,6
38,7.411916529638973e-20,0.1018391669160237,1118,0
39,8.020434022311376e-22,0.09920724206539744,827,6
40,0.00013015703271247094,0.11080534749242335,1020,0
41,0.0009646853146019055,0.10129739012790176,1489,0
42,5.331104071031396e-16,0.2449427883620824,193,0
43,2.5729437752901363e-12,0.3310929029755091,251,0
44,2.0656730943828495e-16,0.10271532187752073,635,0
45,1.1416875539872361e-20,0.10190226945857946,482,3
46,9.208487686902272e-14,0.19027391778854116,671,9
47,4.577529760790668e-20,0.194531069162458,808,9
48,3.527240443837505e-20,0.10207562945214864,503,0
49,7.027750395291854e-16,0.1094998807775035,443,1
50,2.0042014954440533e-17,0.10304621362020616,682,3
51,1.442002333784757e-23,0.20254700152993252,661,0
52,1.5179072880897592e-19,0.17876428512714188,1026,0
53,0.019180615450649648,0.3965175659296682,10,0
54,3.802402384574415e-21,0.10197731356712994,442,1
55,4.621083700148678e-19,0.17677832414801675,1038,0
56,1.6329957527411617e-11,0.2231876236099636,712,0
57,1.6713850097383695e-21,0.1022852665664123,619,1
58,4.717752713833003e-16,0.19456617644099478,1326,22
59,6.519860405130391e-05,0.12489484339974728,667,0
60,4.879041945365497e-22,0.1770259474638728,811,0
61,3.551105059450802e-13,0.32288951199486715,183,0
62,1.3097728120470993e-13,0.32244515601724943,195,0
63,0.015014768096533342,0.3982224413935927,13,0
64,2.2806582615807433e-22,0.18903645714261647,665,0
65,1.0672290923145297e-15,0.10918998184229445,253,0
66,3.005345790178041e-14,0.2936172950437394,413,7
67,0.0069783699280233005,0.396684575820929,23,0
68,1.7837737098912192e-19,0.10199205658697122,812,0
69,5.183137251435744e-23,0.10140595054720078,823,3
70,0.03303458711342452,0.3950253857773628,0,0
71,6.37467298937376e-24,0.09984226110314734,706,1
72,1.3200355357949662e-18,0.2132358495986297,484,0
73,4.096375331851751e-22,0.09839729490828905,955,0
74,4.3030634929729886e-14,0.10377747814524528,1289,18
75,0.03361721169243796,0.39991341870752156,58,0
76,0.03303458711342452,0.3959747362780306,0,0
77,2.285487508562772e-16,0.10142395715596844,804,3
78,1.729044454622952e-21,0.10123364070265786,607,0
79,6.141279444293288e-20,0.10209828955917982,619,0
80,2.3013345408528014e-20,0.1010205681093608,732,1
81,0.032978164785151934,0.40215290054465297,28,0
82,2.2506193937045363e-19,0.21680510960236254,479,3
83,4.64768676916404e-19,0.22576607088447437,467,0
84,2.5136053337345066e-12,0.1766434687724975,689,0
85,3.5274783119306366e-11,0.10362692585364222,939,0
86,5.1982592453734604e-11,0.3303853349450519,329,0
87,2.6785599404071388e-20,0.10288657242992734,579,3
88,3.729456803735632e-20,0.23055913943361087,331,0
89,0.025427804605090774,0.3995060859165469,22,0
90,3.575730835633498e-16,0.10088089327519402,1007,0
91,1.7148620818075794e-20,0.10151155314612394,812,3
92,1.6739643661959364e-21,0.099422213459737,821,0
93,1.0737171787104645e-19,0.10247974122855749,1055,0
94,1.3507698866695651e-18,0.17652822905859622,1009,15
95,3.523600992170556e-21,0.17853910673429685,987,0
96,0.03303458711342452,0.39614090667702984,0,0
97,6.506242795783558e-21,0.09915116245476671,797,10
98,1.2831037915584592e-07,0.4002763715206171,77,0
99,0.030165363640906193,0.23215314830902734,357,0
